FIPS,STATE,CTYNAME,POVEST,POVRATE,MEDINCOME,TOTALPOP,GENDER_M,GENDER_F,AGE 0-19,AGE 20-49,AGE 50 ABOVE
36015,NY,Chemung County,10856,13.5,52565,84254,41850,42404,19996,30341,33917
36017,NY,Chenango County,7023,15.1,50312,47536,23814,23722,10785,16066,20685
36019,NY,Clinton County,9779,13.2,55517,80695,41527,39168,17475,32231,30989
36021,NY,Columbia County,6828,11.7,64916,59916,30001,29915,11466,19624,28826
36023,NY,Cortland County,7426,16.9,51751,47823,23370,24453,12102,18700,17021
36025,NY,Delaware County,6746,15.9,47382,44527,22496,22031,9102,14101,21324
36027,NY,Dutchess County,25387,9.2,79604,293718,146277,147441,65069,109940,118709
36029,NY,Erie County,122204,13.7,56375,919719,444942,474777,210409,350186,359124
36031,NY,Essex County,4150,11.7,54376,37300,19255,18045,6764,12840,17696
36033,NY,Franklin County,7404,16.7,48722,50293,27683,22610,11077,20117,19099
36035,NY,Fulton County,6830,13,51388,53591,26670,26921,11811,19253,22527
36037,NY,Genesee County,5494,9.9,58925,57511,28611,28900,13061,20578,23872
36039,NY,Greene County,5789,13,54514,47491,24854,22637,9049,16850,21592
36041,NY,Hamilton County,404,9.1,59020,4434,2222,2212,639,1162,2633
36043,NY,Herkimer County,8176,13.5,53168,61833,30591,31242,14386,20944,26503
36045,NY,Jefferson County,12996,12.3,52798,111755,58764,52991,29466,48774,33515
36047,NY,Kings County,483632,18.9,60862,2582830,1223764,1359066,638730,1148939,795161
36049,NY,Lewis County,3177,12.2,52660,26447,13398,13049,6604,9065,10778
36051,NY,Livingston County,7173,12.5,61027,63227,31760,31467,14296,23674,25257
36053,NY,Madison County,7121,10.8,59114,70795,34933,35862,16893,24808,29094
36055,NY,Monroe County,103620,14.4,60240,742474,358365,384109,177060,285329,280085
36057,NY,Montgomery County,7694,15.8,43799,49455,24350,25105,12310,17650,19495
36059,NY,Nassau County,77883,5.8,115301,1358343,661427,696916,324539,498369,535435
36061,NY,New York County,245347,15.6,84610,1628701,771151,857550,267811,809525,551365
36063,NY,Niagara County,26833,13,55013,210433,102493,107940,47075,74977,88381
36065,NY,Oneida County,32150,14.8,54096,229577,114334,115243,55106,83623,90848
36067,NY,Onondaga County,61143,13.7,59786,461809,222674,239135,113279,173507,175023
36069,NY,Ontario County,9077,8.5,62930,109864,53826,56038,25109,38266,46489
36071,NY,Orange County,42664,11.5,75048,381951,191531,190420,108686,143993,129272
36073,NY,Orleans County,4819,12.6,52658,40612,20278,20334,8850,15055,16707
36075,NY,Oswego County,18209,16.1,53745,117898,59114,58784,29038,43130,45730
36077,NY,Otsego County,6881,12.5,54321,59749,28984,30765,12888,21592,25269
36079,NY,Putnam County,5863,6,100887,98892,49406,49486,21794,35854,41244
36081,NY,Queens County,261819,11.6,68432,2278906,1105389,1173517,501875,963088,813943
36083,NY,Rensselaer County,17059,11.1,71084,159442,78763,80679,36234,62357,60851
36085,NY,Richmond County,55217,11.7,79719,476179,230765,245414,114824,184952,176403
36087,NY,Rockland County,44728,13.9,88960,325695,159777,165918,100258,114048,111389
36089,NY,St. Lawrence County,14677,15.1,49356,108047,55194,52853,27094,40157,40796
36091,NY,Saratoga County,14319,6.3,83210,230163,113980,116183,51624,86058,92481
36093,NY,Schenectady County,17062,11.3,63297,155350,75706,79644,37247,59493,58610
36095,NY,Schoharie County,3532,11.8,57757,31097,15596,15501,6641,10451,14005
36097,NY,Schuyler County,2392,13.5,50190,17912,8930,8982,3795,6018,8099
36099,NY,Seneca County,4000,12.6,54184,34300,18005,16295,7513,12814,13973
36101,NY,Steuben County,12069,12.8,54862,95796,47749,48047,22603,33377,39816
36103,NY,Suffolk County,105578,7.3,100075,1481093,729117,751976,350314,549094,581685
36105,NY,Sullivan County,11834,16.2,51985,75498,38865,36633,17712,26721,31065
36107,NY,Tioga County,4912,10.2,60309,48560,24129,24431,11244,16137,21179
36109,NY,Tompkins County,15146,16.8,57383,102793,50524,52269,23819,47216,31758
36111,NY,Ulster County,24389,14.3,63073,178599,88505,90094,36484,66141,75974
36113,NY,Warren County,6859,10.8,56694,64265,31572,32693,12932,21959,29374
36115,NY,Washington County,6637,11.4,55913,61197,31674,29523,12744,22422,26031
36117,NY,Wayne County,8511,9.6,61118,90064,44703,45361,21026,31037,38001
36119,NY,Westchester County,78572,8.3,94521,967612,468720,498892,237369,362292,367951
36121,NY,Wyoming County,3627,9.9,57709,40085,21705,18380,8331,15583,16171
36123,NY,Yates County,3014,12.7,51089,24841,12070,12771,6251,8215,10375
